name,category,subcategory,niche,city,lat,lon,rating,price_level,has_website,has_phone,opening_hours,cuisine,address,osm_class,osm_type,importance,description
Tacos De Fes,fast_food,fast food,casual,Fès ⴼⴰⵙ فاس,34.0191492,-5.0203755,3.5,2,False,False,,,Boulevard Mohamed VI ش. محمد السادس,amenity,fast_food,6.616083009074567e-05,"Tacos De Fes - casual fast_food in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Joker Fast Food,fast_food,moroccan,budget,Fès ⴼⴰⵙ فاس,34.0603512,-4.9725261,3.5,1,False,False,Mo-Su 13:00-01:00,moroccan,Boulevard Ahmed Ben Mohamed,amenity,restaurant,6.616083009074567e-05,"Joker Fast Food - budget fast_food in Fès ⴼⴰⵙ فاس, cuisine: moroccan, has opening hours, rated 3.5/5"
Snack Fast-food,fast_food,fast food,budget,Fès ⴼⴰⵙ فاس,34.0567818,-5.0287471,3.5,1,False,False,,,Rue 20 زنقة,amenity,restaurant,6.616083009074567e-05,"Snack Fast-food - budget fast_food in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Snak Fast Medina,fast_food,fast food,budget,Fès ⴼⴰⵙ فاس,34.0343057,-4.9971764,3.5,1,False,False,,,Rue Patrice Lumumba,amenity,fast_food,6.616083009074567e-05,"Snak Fast Medina - budget fast_food in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Pizzeria Fast Ford,fast_food,fast food,budget,Fès ⴼⴰⵙ فاس,34.0080960,-4.9692901,3.5,1,False,False,,,Al Madina Mounawara,amenity,restaurant,6.616083009074567e-05,"Pizzeria Fast Ford - budget fast_food in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Boulangerie Pâtisserie Chhiouate Fes,bakery,bakery,casual,Fès ⴼⴰⵙ فاس,34.0403816,-5.0085481,3.5,2,False,False,,,Avenue Abi Bakr Essedik,shop,bakery,6.616083009074567e-05,"Boulangerie Pâtisserie Chhiouate Fes - casual bakery in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Tradi Maison Fès,bakery,bakery,casual,Fès ⴼⴰⵙ فاس,34.0026677,-5.0080413,3.5,2,False,False,,,Route Aïn Chkef طريق عين شقف,shop,bakery,6.616083009074567e-05,"Tradi Maison Fès - casual bakery in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Salon Fath Bout y fes,hairdresser,hairdresser,casual,Fès ⴼⴰⵙ فاس,34.0327701,-4.9932980,3.5,2,False,True,,,Rue Hassan Dkhissi زنقة المتنبي,shop,hairdresser,6.616083009074567e-05,"Salon Fath Bout y fes - casual hairdresser in Fès ⴼⴰⵙ فاس, has phone, rated 3.5/5"
Pharmacie corniche oued fes,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,34.0509990,-5.0283260,3.5,2,False,False,,,RN6;RN4,amenity,pharmacy,6.616083009074567e-05,"Pharmacie corniche oued fes - casual pharmacy in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Pharmacie de Garde Fès Marjane Sais,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,33.9860150,-4.9994000,3.5,2,False,False,,,RN8,amenity,pharmacy,6.616083009074567e-05,"Pharmacie de Garde Fès Marjane Sais - casual pharmacy in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Pharmacie Ahel Fès صيدلية أهل فاس,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,33.9877828,-5.0407775,3.5,2,False,False,,,RP5006,amenity,pharmacy,6.616083009074567e-05,"Pharmacie Ahel Fès صيدلية أهل فاس - casual pharmacy in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Pharmacie Diamant de Fès صيدلية جوهرة فاس,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,33.9943582,-4.9666565,3.5,2,False,False,,,RN4,amenity,pharmacy,6.616083009074567e-05,"Pharmacie Diamant de Fès صيدلية جوهرة فاس - casual pharmacy in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Pharmacie Fès Shore صيدلية فاس شور,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,34.0093643,-4.9616705,3.5,2,False,False,,,Route du Parc Fes-Shore,amenity,pharmacy,6.616083009074567e-05,"Pharmacie Fès Shore صيدلية فاس شور - casual pharmacy in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Pharmacie de Fès صيدلية فاس,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,34.0643800,-5.0110997,3.5,2,False,False,,,Rue 8 زنقة,amenity,pharmacy,6.616083009074567e-05,"Pharmacie de Fès صيدلية فاس - casual pharmacy in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Pharmacie Jnane Fès صيدلية جنان فاس,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,34.0304772,-5.0051309,3.5,2,False,True,,,Rue Khalil Matran,amenity,pharmacy,6.616083009074567e-05,"Pharmacie Jnane Fès صيدلية جنان فاس - casual pharmacy in Fès ⴼⴰⵙ فاس, has phone, rated 3.5/5"
Pharmacie Bab Fès صيدلية باب فاس,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,34.0611947,-4.9418139,3.5,2,False,False,,,RN6;RN8,amenity,pharmacy,5.000152590214416e-05,"Pharmacie Bab Fès صيدلية باب فاس - casual pharmacy in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Pharmacie Route de Fès صيدلية طريق فاس,pharmacy,pharmacy,casual,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8995176,-5.5185191,3.5,2,False,False,,,Boulevard des F.A.R شارع الجيش الملكي,amenity,pharmacy,6.176012817573842e-05,"Pharmacie Route de Fès صيدلية طريق فاس - casual pharmacy in Meknès ⴰⵎⴽⵏⴰⵙ مكناس, rated 3.5/5"
Pharmacie Bab Fés صيدلية باب فاس,pharmacy,pharmacy,casual,Kénitra القنيطرة,34.2677625,-6.5623436,3.5,2,False,False,,,Avenue Mohamed V شارع الحسن الثاني,amenity,pharmacy,5.675974670019101e-05,"Pharmacie Bab Fés صيدلية باب فاس - casual pharmacy in Kénitra القنيطرة, rated 3.5/5"
Pharmacie Riad Fès صيدلية رياض فاس,pharmacy,pharmacy,luxury,Témara تمارة,33.9201526,-6.9003706,3.5,3,False,False,,,Avenue Tarik Ibn Ziad شارع طارق بن زياد,amenity,pharmacy,5.073548485537526e-05,"Pharmacie Riad Fès صيدلية رياض فاس - luxury pharmacy in Témara تمارة, rated 3.5/5"
Spa Riad Fes by Cinq Mondes,spa,spa,luxury,Fès ⴼⴰⵙ فاس,34.0693986,-4.9935851,3.5,3,False,False,,,Rue 4 زنقة,shop,massage,6.616083009074567e-05,"Spa Riad Fes by Cinq Mondes - luxury spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Maison d'hôtes,spa,spa,casual,Fès ⴼⴰⵙ فاس,34.0572301,-4.9724587,3.5,2,True,True,24/7,,Boulevard Ahmed Ben Mohamed,tourism,guest_house,6.616083009074567e-05,"Maison d'hôtes - casual spa in Fès ⴼⴰⵙ فاس, has opening hours, has website, has phone, rated 3.5/5"
Hammam Mernissi-Spa,spa,spa,casual,Fès ⴼⴰⵙ فاس,34.0615508,-4.9835395,3.5,2,True,True,,,Bab Boujloud باب بوجلود,shop,cosmetics,6.616083009074567e-05,"Hammam Mernissi-Spa - casual spa in Fès ⴼⴰⵙ فاس, has website, has phone, rated 3.5/5"
So Zen Spa,spa,spa,casual,Fès ⴼⴰⵙ فاس,34.0375174,-4.9998590,3.5,2,False,False,,,Avenue Mohamed Es Slaoui,shop,beauty,6.616083009074567e-05,"So Zen Spa - casual spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
